"DHL Versenden","DHL Versenden"
"DHL Business Customer Shipping","DHL Business Customer Shipping"
"DHL Shipping Not Available","DHL Shipping Not Available"
"General Settings","General Settings"
"Module","Module"
"Title","Title"
"Enabled for Checkout","Enabled for Checkout"
"Yes","Yes"
"No","No"
"Sandbox Mode","Sandbox Mode"
"The Sandbox mode allows testing without entering a username, password, or DHL Customer Number.","The Sandbox mode allows testing without entering a username, password, or DHL Customer Number."
"Enable Logging","Enable Logging"
"Please ensure that the global Magento logging is also activated. Data will be written to the existing Magento logs.","Please ensure that the global Magento logging is also activated. Data will be written to the existing Magento logs."
"Log Level","Log Level"
"Beware: Log level <em>Debug</em> will result in large log files.","Beware: Log level <em>Debug</em> will result in large log files."
"Error","Error"
"Debug","Debug"
"Account Data","Account Data"
"Basic account data as required in production mode","Basic account data as required in production mode"
"User","User"
"Username for the DHL Webservice (API). This can be created in the DHL Business Customer Portal.","Username for the DHL Webservice (API). This can be created in the DHL Business Customer Portal."
"Signature","Password (Signature)"
"Password for the DHL Webservice (API). This can be created in the DHL Business Customer Portal.","Password for the DHL Webservice (API). This can be created in the DHL Business Customer Portal."
"Recommendation: Create a System User in the DHL Business Customer Portal.","Recommendation: Create a System User in the DHL Business Customer Portal. See also <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000023252'>this tutorial</a>."
"EKP","DHL Customer Number (EKP)"
"Your DHL Customer Number (Account Number / EKP) from the DHL Business Customer Portal.","Your DHL Customer Number (Account Number / EKP) from the DHL Business Customer Portal."
"See the Knowledge Base tutorial on how to configure the EKP.","See the <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000024659'>Knowledge base tutorial</a> on how to configure the EKP."
"Participation Numbers","Participation Numbers"
"Your Participation Numbers for each available DHL product. These can be found in the DHL Business Customer Portal.","Your Participation Numbers for each available DHL product. These can be found in the DHL Business Customer Portal."
"Procedure","Procedure"
"Participation","Participation"
"See the Knowledge Base tutorial on how to configure the Participation Numbers.","See the <a href='http://dhl.support.netresearch.de/support/solutions/articles/12000024659'>Knowledge base tutorial</a> on how to configure the Participation Numbers."
"The participation is 2 numerical digits from 00 to 99 or alphanumerical digits from AA to ZZ. It is allocated by DHL Sales.","The participation is 2 numerical digits from 00 to 99 or alphanumerical digits from AA to ZZ. It is allocated by DHL Sales."
"Shipment Orders","Shipment Orders"
"Print Only If Codeable","Print Only If Codeable"
"If set to <em>Yes</em>, shipping order requests will only return a label if the DHL delivery address verification succeeds.","If set to <em>Yes</em>, shipping order requests will only return a label if the DHL delivery address verification succeeds."
"Send receiver phone number","Send receiver phone number"
"If set to <em>Yes</em>, the buyer's phone number will be transmitted to DHL.","If set to <em>Yes</em>, the buyer's phone number will be transmitted to DHL."
"Address Validation","Address Validation"
"OK","OK"
"Cancel","Cancel"
"Weight Unit","Weight Unit"
"Select the weight unit that is used in your Product Catalog.","Select the weight unit that is used in your Product Catalog."
"Grams","Grams"
"Kilograms","Kilograms"
"Shipping Methods for DHL Shipping","Shipping Methods for DHL Shipping"
"Cash On Delivery Payment Methods for DHL Shipping","Cash On Delivery Payment Methods for DHL Shipping"
"Select shipping methods for rate calculation in checkout.","Select shipping methods for rate calculation in checkout."
"Selected shipping methods will be processed with DHL Shipping.","Selected shipping methods will be processed with DHL Shipping."
"These payment methods will be treated as COD methods during shipping order requests.","These payment methods will be treated as COD methods during shipping order requests."
"COD Charge","COD Charge"
"Cash On Delivery","Cash On Delivery"
"Set the COD charge (€) to be added to the total order amount during shipping order requests.","Set the COD charge (€) to be added to the total order amount during shipping order requests."
"Additional Services In Checkout","Additional Services In Checkout"
"Preferred Day","Preferred Day"
"Enable preferred day","Enable preferred day"
": Delivery at your preferred day",": Delivery at your preferred day"
"Allow customers to select a preferred day of delivery.","Allow customers to select a preferred day of delivery."
"Cut Off Time","Cut Off Time"
"Orders placed after the cut-off time will not be shipped the same day.","Orders placed after the cut-off time will not be shipped the same day."
"Preferred Time","Preferred Time"
"Enable preferred time","Enable preferred time"
"Allow customers to select a preferred time of delivery.","Allow customers to select a preferred time of delivery."
"Preferred Location","Preferred Location"
